"Name-Surname","Nation","Age","Height","Position","Leg","League","xG","xA","Touches","Accurate pass per game","Tackles","Aerial duels won","Possession lost","Fouls per game","Yellow Card"
"Erling Haaland","Norway","23","194","ATT ","L ","ENG ","28.57","2.21","22.40","9.40","1.50","1.30","5.50","0.60","1"
"Bernardo Silva","Portugal","29","173","MID","L","ENG ","3.71","7.81","69.10","48.50","3.00","0.10","11.40","0.70","8"
"Kyle Walker","England","33","183","DEF","R ","ENG ","0.39","3.18","82.40","58.80","4.70","0.80","10.40","0.70","2"
"Gabriel Martinelli","Brazil","22","180","ATT","R","ENG","6.65","4.76","37.50","19.10","2.70","0.50","10.40","0.70","1"
"Declan Rice","England","25","188","MID ","R","ENG","3.16","4.48","71.90","53.40","4.70","1.00","8.60","0.80","4"
"Oleksandr Zinchenko","Ukraine","27","175","DEF ","L","ENG","0.58","2.91","66.50","47.20","4.00","1.00","8.50","0.30","2"
"Mohamed Salah","Eygpt","31","175","ATT","L","ENG","20.14","7.36","45.60","22.20","2.60","0.20","14.40","0.40","2"
"Harvey Elliott","England","21","170","MID","L","ENG","2.44","4.18","33.10","22.10","2.30","0.30","5.80","0.20","2"
"Virgil Van Dijk","Nedtherlands","32","193","DEF","R","ENG","2.88","1.00","91.10","73.30","4.70","3.90","7.30","0.60","3"
"Moussa Diaby","France","24","170","ATT","L","ENG","6.57","4.54","23.50","12.30","1.60","0.10","6.30","0.40","1"
"Nicolo Zaniolo","Italy","24","189","MID","L","ENG","2.57","0.72","18.80","6.00","1.40","0.30","7.10","1.00","7"
"Tyrone Mings","England","31","195","DEF","L","ENG","0.01","0.16","9.00","5.00","2.00","1.00","3.40","0.20","2"
"Heung-min Son","Korea","31","184","ATT","L","ENG","11.92","7.88","41.60","24.50","2.30","0.10","9.60","0.40","1"
"James Maddison","England","27","175","MID","R","ENG","5.57","5.92","66.60","41.10","2.10","0.10","14.20","0.80","5"
"Cristian Romero","Argentina","26","185","DEF","R","ENG","3.02","1.51","89.50","71.30","5.70","2.70","7.00","0.90","7"
"Christopher Nkunku","France","26","175","ATT","R","ENG","2.18","0.35","23.80","14.10","1.00","0.80","5.10","0.80","0"
"Raheem Sterling","England","29","170","MID","R","ENG","6.29","4.28","37.00","16.70","3.00","0.10","11.80","1.10","7"
"Thiago Silva","Brazil","39","181","DEF","R","ENG","0.79","0.59","83.60","70.30","4.50","1.70","4.10","0.30","4"
"Alexander Isak","Sweden","24","190","ATT","R","ENG","19.44","2.28","26.30","12.50","1.20","0.30","6.90","0.50","1"
"Joelinton","Brazil","27","186","MID","R","ENG","2.45","0.94","43.80","25.30","4.10","0.90","8.60","1.40","5"
"Kieran Trippier","England","33","174","DEF","R","ENG","0.67","7.07","89.50","50.20","5.90","1.10","20.10","1.00","5"
"Rasmus Hojlund","Denmark","21","191","ATT","L","ENG","7.49","0.89","23.00","10.10","2.00","0.80","6.70","0.70","2"
"Mason Mount","England","25","178","MID","R","ENG","0.39","0.37","22.20","12.40","2.60","0.40","4.60","0.70","2"
"Victor Lindelöf","Sweden","29","187","DEF","R","ENG","0.76","0.45","55.20","41.30","3.90","0.90","5.70","0.80","2"
"Michail Antonio","Jamiaca","34","180","ATT","R","ENG","5.77","1.29","24.00","6.70","2.20","1.30","10.50","1.00","6"
"Mohammed Kudus","Ghana","23","176","MID","L","ENG","4.85","3.66","48.20","19.80","6.40","0.50","13.90","1.20","6"
"Konstantinos Mavropanos","Greece","26","194","DEF","R","ENG","1.18","0.12","45.20","25.60","3.80","2.30","8.70","0.80","2"
"Ansu Fati","Spain","21","178","ATT","R","ENG","3.39","0.60","17.60","9.70","1.20","0.10","3.70","0.30","2"
"Kaoru Mitoma","Japan","26","178","MID","R","ENG","3.49","3.55","48.40","26.20","3.60","0.60","12.90","0.70","4"
"Lewis Dunk","England","32","190","DEF","R","ENG","3.07","2.20","106.90","90.00","5.50","1.70","8.20","0.70","7"
"Enes Ünal","Turkey","27","185","ATT","R","ENG","2.22","0.08","9.40","3.10","0.70","0.30","3.00","0.70","1"
"Luis Sinisterra","Colombia","24","176","MID","R","ENG","2.54","1.07","24.20","11.30","2.40","0.80","6.10","0.60","0"
"Max Aarons","England","24","178","DEF","R","ENG","0.05","0.90","37.70","17.50","3.90","0.30","8.50","0.60","1"
"Jordan Ayew","Ghana","32","182","ATT","R","ENG","3.90","2.67","45.40","19.10","4.60","1.00","13.70","1.30","7"
"Eberechi Eze","England","25","173","MID","R","ENG","8.84","5.41","53.00","24.20","4.90","0.50","15.20","1.00","3"
"Daniel Munoz","Colombia","27","183","DEF","R","ENG","1.24","0.91","61.90","26.90","4.70","1.70","12.90","1.90","4"
"Hee-Chan Hwang","Korea","28","177","ATT","R","ENG","7.60","2.86","31.00","14.50","2.70","0.30","8.80","1.10","6"
"Matt Doherty","Irland","32","182","MID","R","ENG","0.84","0.86","28.30","15.20","2.20","1.30","5.70","0.40","2"
"Rayan Ait Nouri","Algeria","22","179","DEF","L","ENG","3.29","1.65","50.80","27.30","4.10","0.70","10.10","0.80","7"
"Adama Traore","Spain","28","178","ATT","R","ENG","1.38","0.68","11.60","4.41","0.60","0.40","4.30","0.20","1"
"Willian","Brazil","35","175","MID","R","ENG","5.14","4.50","45.70","29.20","3.20","0.30","9.70","0.30","1"
"Timothy Castagne","Belgium","28","185","DEF","R","ENG","1.62","1.84","60.30","33.20","3.60","1.10","10.80","0.70","3"
"Dominic Calvert-Lewin","England","27","187","ATT","R","ENG","12.38","1.59","25.20","7.70","1.40","4.50","9.80","0.90","2"
"Idrissa Gueye","Senegal","34","174","MID","R","ENG","1.27","0.80","47.60","30.00","6.90","0.60","7.50","1.50","8"
"Jarrad Branthwaite","England","21","195","DEF","L","ENG","1.74","1.28","52.50","31.70","5.30","2.80","8.80","0.70","8"
"Ivan Toney","England","28","185","ATT","R","ENG","5.40","1.42","40.50","12.70","3.30","3.40","17.10","1.40","4"
"Saman Ghoddos","Iran","30","177","MID","R","ENG","0.30","1.04","30.10","15.10","2.10","0.20","7.90","0.70","5"
"Aaron Hickey","Scotland","21","185","DEF","L","ENG","0.21","0.14","42.30","25.00","4.70","0.20","6.70","1.10","5"
"Anthony Elanga","Sweden","22","178","ATT","R","ENG","6.47","3.77","30.60","13.60","2.70","0.50","9.90","0.30","1"
"Giovanni Reyna","USA","21","185","MID","R","ENG","0.30","0.37","20.40","12.80","1.60","0.80","4.20","0.30","0"
"Gonzalo Montiel","Argentina","27","175","DEF","R","ENG","0.13","0.86","35.00","18.10","2.80","0.80","7.90","0.50","5"
"Elijah Adebayo","England","26","193","ATT","R","ENG","5.78","0.41","19.50","5.40","1.30","1.60","7.80","1.00","1"
"Albert Sambi Lokonga","Belgium","24","183","MID","R","ENG","0.62","0.76","56.00","38.70","3.80","0.90","7.30","1.10","3"
"Tom Lockyer","Wales","29","183","DEF","R","ENG","1.05","0.28","44.10","21.40","6.40","2.20","9.40","1.10","4"
"David Datro Fofana","Ivory coast","21","181","ATT","R","ENG","4.52","0.29","23.30","7.70","1.50","0.90","9.50","1.10","1"
"Nathan Redmond","England","30","173","MID","R","ENG","0.03","0.37","7.90","3.90","0.50","0.10","2.70","0.30","1"
"Vitinho","Brazil","24","175","DEF","R","ENG","1.46","1.14","43.50","18.20","3.50","0.60","11.70","0.80","1"
"Ben Brereton Diaz ","Chile","25","188","ATT","R","ENG","5.56","1.06","32.50","14.50","2.80","0.50","9.40","0.80","3"
"Yasser Larouci","Algeria","23","175","MID","L","ENG","0.23","0.05","25.80","10.80","3.10","0.10","6.20","0.50","1"
"Auston Trusty","USA","25","188","DEF","L","ENG","0.38","0.78","40.50","20.80","2.90","2.00","7.80","0.70","4"
"Jude Bellingham","England","20","188","MID","R","ESP","11.02","4.26","73.00","47.60","4.30","1.00","11.20","1.10","5"
"Luka Modric","Croatia","38","173","MID","R","ESP","1.25","4.45","58.60","44.00","2.90","0.30","8.40","0.60","2"
"Vinicius Junior","Brazil","23","176","ATT","R","ESP","12.82","4.29","46.30","18.70","1.60","0.00","15.80","1.00","7"
"Rodygo","Brazil","23","174","ATT","R","ESP","11.56","3.56","43.40","25.60","1.90","0.20","9.00","0.30","2"
"Daniel Carvajal","Spain","32","173","DEF","R","ESP","1.62","3.13","63.40","39.80","4.30","0.80","9.40","0.80","2"
"Lucas Vazquez","Spain","32","173","DEF","R","ESP","1.13","3.17","45.70","27.40","2.50","0.10","7.13","0.70","0"
"İlkay Gündoğan","Germany","33","180","MID","R","ESP","7.30","9.70","77.10","58.40","5.30","0.20","12.20","0.40","5"
"Frenkie de Jong","Nethertlands","27","180","MID","R","ESP","0.70","4.88","94.80","76.30","5.90","1.20","8.60","1.00","7"
"Raphinha","Brazil","27","176","ATT","L ","ESP","7.35","4.95","34.20","16.90","2.70","0.30","8.70","0.60","3"
"Joao Cacelo","Portugal","29","182","DEF","R","ESP","1.48","6.15","73.70","41.40","5.20","0.80","14.20","1.20","5"
"Robert Lewandovski","Poland","35","184","ATT","R","ESP","17.43","3.23","29.00","11.50","1.60","1.50","9.60","0.70","5"
